societe_gestion,nb_fonds,perf_1y_moy,ter_moyen,aum_total
BlackRock,139,12.639202898550725,0.24553956834532376,866479.0
DWS Investment,51,14.774313725490197,0.1903921568627451,208458.0
Amundi Asset Management,60,13.482542372881356,0.1665,201138.0
Vanguard,27,12.624400000000001,0.11259259259259259,182554.0
Invesco,17,19.225,0.15,102196.0
State,15,11.635000000000002,0.182,79220.0
UBS Asset Management,19,16.435294117647057,0.1942105263157895,30599.0
WisdomTree,47,21.99586956521739,0.4512765957446809,30274.0
HSBC Asset Management,5,13.856,0.174,25178.0
VanEck,6,55.10333333333333,0.43500000000000005,25071.0
Xetra-Gold,1,52.36,0.0,23930.0
JPMorgan,5,11.272,0.242,20907.0
BNP,16,13.815,0.26,17224.0
Deka,1,13.92,0.3,4515.0
EUWAX,1,55.43,0.0,4452.0
L&G,7,20.09714285714286,0.3914285714285714,4291.0
Gold,1,52.41,0.4,4264.0
PIMCO,2,0.275,0.27,3249.0
HANetf,3,18.976666666666667,0.6433333333333334,2948.0
Fidelity,1,25.39,0.3,2838.0
Franklin,1,130.83,0.09,2716.0
Nordea,1,,0.25,2045.0
Ossiam,1,2.37,0.15,89.0
abrdn,1,5.5,0.4,72.0
BNPP,4,23.68,0.9,61.0
Market,1,25.03,0.6,58.0
Global,1,-1.43,0.07,53.0
KraneShares,1,-7.39,0.78,8.0
Leonteq,5,1.9566666666666663,0.22399999999999998,0.0
