nom_fonds,isin,societe_gestion,categorie,aum_meur,perf_1y_pct,ter_pct
iShares Core S&P 500 UCITS ETF USD (Acc),IE00B5BMR087,BlackRock,ETF,113740.0,13.91,0.07
iShares Core MSCI World UCITS ETF USD (Acc),IE00B4L5Y983,BlackRock,ETF,110508.0,14.17,0.2
Vanguard S&P 500 UCITS ETF (USD) Distributing,IE00B3XXRP09,Vanguard,ETF,40627.0,13.91,0.07
iShares Physical Gold ETC,IE00B4ND3602,BlackRock,ETF,35670.0,52.44,0.12
iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc),IE00BKM4GZ66,BlackRock,ETF,31975.0,25.11,0.18
Vanguard FTSE All-World UCITS ETF (USD) Accumulating,IE00BK5BQT80,Vanguard,ETF,31157.0,15.43,0.19
Invesco S&P 500 UCITS ETF Acc,IE00B3YCGJ38,Invesco,ETF,30337.0,14.06,0.05
Invesco Physical Gold ETC,IE00B579F325,Invesco,ETF,27781.0,52.43,0.12
Vanguard S&P 500 UCITS ETF (USD) Accumulating,IE00BFMXXD54,Vanguard,ETF,26326.0,13.98,0.07
Xetra-Gold,DE000A0S9GB0,Xetra-Gold,ETF,23930.0,52.36,0.0
iShares MSCI ACWI UCITS ETF USD (Acc),IE00B6R52259,BlackRock,ETF,22903.0,15.5,0.2
Xtrackers II EUR Overnight Rate Swap UCITS ETF 1C,LU0290358497,DWS Investment,ETF,19443.0,2.04,0.1
Vanguard FTSE All-World UCITS ETF (USD) Distributing,IE00B3RBWM25,Vanguard,ETF,19411.0,15.42,0.19
iShares Nasdaq 100 UCITS ETF (Acc),IE00B53SZB19,BlackRock,ETF,18448.0,20.35,0.3
iShares Core S&P 500 UCITS ETF USD (Dist),IE0031442068,BlackRock,ETF,16945.0,13.91,0.07
iShares Core FTSE 100 UCITS ETF GBP (Dist),IE0005042456,BlackRock,ETF,16936.0,19.3,0.07
Amundi Core Stoxx Europe 600 UCITS ETF Acc,LU0908500753,Amundi Asset Management,ETF,16926.0,11.31,0.07
Xtrackers MSCI World UCITS ETF 1C,IE00BJ0KDQ92,DWS Investment,ETF,16578.0,14.17,0.12
State Street SPDR S&P 500 UCITS ETF USD Unhedged (Dist),IE00B6YX5C33,State,ETF,15463.0,13.9,0.03
iShares USD Treasury Bond 0-1yr UCITS ETF (Acc),IE00BGSF1X88,BlackRock,ETF,15423.0,-1.24,0.07
